state,district,district_id,region,district_type,college_share_tier,white_share_tier,black_share_tier,hispanic_share_tier,median_income_tier,education_race_error_group,demographic_error_group,election_system,general_election_party_structure,party_control_override,election_system_notes,state_error_group,region_error_group,district_type_error_group,state_environment_adjustment_dem,incumbent_raw,incumbent_party_raw,incumbent_party,inferred_incumbent_party,incumbent_running,open_seat,dem_candidate,gop_candidate,other_candidate,dem_candidate_italic,gop_candidate_italic,dem_candidate_is_incumbent,gop_candidate_is_incumbent,pres_2024_margin_dem,pres_2020_margin_dem,genballot_adjusted_margin_dem,district_partisan_baseline_dem,district_elasticity,manual_elasticity_override,national_environment_margin_dem,district_environment_adjustment_dem,incumbency_adjustment_dem,candidate_quality_adjustment_dem,special_adjustment_dem,fundamentals_margin_dem,polling_margin_dem,poll_count,polling_active,model_margin_dem,dem_win_probability,race_notes,elasticity_baseline_margin_dem,district_type_elasticity_base,partisan_baseline_elasticity_adjustment,region_elasticity_adjustment,calculated_district_elasticity,elasticity_notes,district_elasticity_input,national_pres_2024_margin_dem,national_pres_2020_margin_dem,pres_2024_relative_to_national_dem,pres_2020_relative_to_national_dem,imported_national_environment_margin_dem,house_environment_multiplier,house_national_environment_used_dem,generic_house_incumbency_points,use_candidate_war_adjustments,use_house_poll_spillover_adjustments,poll_spillover_adjustment_dem,poll_spillover_raw_adjustment_dem,poll_spillover_source_count,poll_spillover_notes,fundamentals_notes,national_environment_source_path,latest_poll_end_date,avg_poll_age_days,total_poll_weight,effective_poll_count,largest_pollster_weight_share,only_partisan_or_internal_polls,polling_notes,bayesian_polling_weight,bayesian_fundamentals_weight,bayesian_model_margin_dem,district_posterior_sd,pre_sim_dem_win_probability,simulated_dem_win_probability,avg_simulated_margin_dem,candidate_war_adjustment_dem,war_match_status,dem_war_name,gop_war_name,dem_candidate_war,gop_candidate_war,candidate_war_match_status,candidate_quality_adjustment_dem_before_war,candidate_event_adjustment_dem,candidate_event_count,candidate_event_ids,candidate_event_summary
AL,1,AL-1,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown College / Unknown White,Unknown College / Unknown White / Unknown Black / Unknown Hispanic / Unknown Income,standard,D_vs_R,,,AL,Deep South,Rural,0.0,"Moore, Barry",R,R,R,False,True,"Jones, Clyde","Carl, Jerry",,True,True,False,False,-36.3,-30.199999999999996,-28.299999999999997,-34.775999999999996,1.0,,7.74,7.74,0.0,0.7612499999999998,0.0,-26.27474999999999,,0,False,-26.27474999999999,0.00022498875056247187,,-34.775999999999996,0.8,-0.2,-0.05,0.55,District type base: Rural=0.80. Partisan baseline adjustment: -0.20. Region adjustment: Deep South=-0.05. No manual override. Final elasticity: 0.55.,0.55,-1.5,4.52,-34.8,-34.72,7.74,1.0,7.74,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,,,0.0,0.0,0.0,False,,0.0,1.0,-26.27474999999999,5.75,0.012381109516815316,0.00022498875056247187,-26.27248332738508,0.7612499999999998,Only R matched,,Jerry Carl,0.0,-1.4499999999999995,Only R matched,0.0,0.0,0,,
AL,2,AL-2,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown College / Unknown White,Unknown College / Unknown White / Unknown Black / Unknown Hispanic / Unknown Income,standard,D_vs_R,,,AL,Deep South,Rural,0.0,"Figures, Shomari",D,D,D,True,False,"Figures, Shomari ","Marques, Rhett",,False,True,True,False,-17.300000000000004,-11.799999999999995,-9.300000000000004,-15.956,1.0,,7.74,7.74,1.5,0.5775,0.0,-6.1385,-0.6877359807794035,3,True,-4.4929511596492695,0.2784110794460277,,-15.956,0.8,-0.1,-0.05,0.65,District type base: Rural=0.80. Partisan baseline adjustment: -0.10. Region adjustment: Deep South=-0.05. No manual override. Final elasticity: 0.65.,0.65,-1.5,4.52,-15.800000000000004,-16.319999999999993,7.74,1.0,7.74,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,2026-08-31,49.0,1.1915731670933325,2.2689324552451033,0.5989086686787685,False,"Manual House polling average from 3 poll(s): IMPACT Research, DCCC, Tulchin Research",0.30189324552451036,0.6981067544754896,-4.4929511596492695,5.316028459558517,0.321077339195365,0.2784110794460277,-4.4554017645836055,0.5775,Only D matched,Shomari Figures,,1.1,0.0,Only D matched,0.0,0.0,0,,
AL,3,AL-3,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown College / Unknown White,Unknown College / Unknown White / Unknown Black / Unknown Hispanic / Unknown Income,standard,D_vs_R,,,AL,Deep South,Rural,0.0,"Rogers, Mike",R,R,R,True,False,"McGinnis, Lee","Rogers, Mike",,True,False,False,True,-45.900000000000006,-40.10000000000001,-37.900000000000006,-44.466,1.0,,7.74,7.74,-1.5,0.1461249999999999,0.0,-38.079875,,0,False,-38.079875,2.4998750062496874e-05,,-44.466,0.8,-0.2,-0.05,0.55,District type base: Rural=0.80. Partisan baseline adjustment: -0.20. Region adjustment: Deep South=-0.05. No manual override. Final elasticity: 0.55.,0.55,-1.5,4.52,-44.400000000000006,-44.620000000000005,7.74,1.0,7.74,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,,,0.0,0.0,0.0,False,,0.0,1.0,-38.079875,5.75,0.0017495495658008458,2.4998750062496874e-05,-38.09124724790078,0.1461249999999999,Only R matched,,Mike Rogers,0.0,-0.2783333333333333,Only R matched,0.0,0.0,0,,
AL,4,AL-4,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown College / Unknown White,Unknown College / Unknown White / Unknown Black / Unknown Hispanic / Unknown Income,standard,D_vs_R,,,AL,Deep South,Rural,0.0,"Aderholt, Robert",R,R,R,True,False,"Pusczek, Amanda","Aderholt, Robert",,True,False,False,True,-67.80000000000001,-63.7,-59.80000000000001,-66.876,1.0,,7.74,7.74,-1.5,0.2322115384615384,0.0,-60.40378846153846,,0,False,-60.40378846153846,2.4998750062496874e-05,,-66.876,0.8,-0.2,-0.05,0.55,District type base: Rural=0.80. Partisan baseline adjustment: -0.20. Region adjustment: Deep South=-0.05. No manual override. Final elasticity: 0.55.,0.55,-1.5,4.52,-66.30000000000001,-68.22,7.74,1.0,7.74,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,,,0.0,0.0,0.0,False,,0.0,1.0,-60.40378846153846,5.75,4.24433411379025e-05,2.4998750062496874e-05,-60.342640845982615,0.2322115384615384,Only R matched,,Robert Aderholt,0.0,-0.4423076923076923,Only R matched,0.0,0.0,0,,
AL,5,AL-5,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown College / Unknown White,Unknown College / Unknown White / Unknown Black / Unknown Hispanic / Unknown Income,standard,D_vs_R,,,AL,Deep South,Rural,0.0,"Strong, Dale",R,R,R,True,False,"Sneed, Andrew","Strong, Dale",,True,False,False,True,-29.0,-27.1,-21.0,-28.736,1.0,,7.74,7.74,-1.5,-0.97125,0.0,-23.467250000000003,,0,False,-23.467250000000003,0.0007749612519374031,,-28.736,0.8,-0.2,-0.05,0.55,District type base: Rural=0.80. Partisan baseline adjustment: -0.20. Region adjustment: Deep South=-0.05. No manual override. Final elasticity: 0.55.,0.55,-1.5,4.52,-27.5,-31.62,7.74,1.0,7.74,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,,,0.0,0.0,0.0,False,,0.0,1.0,-23.467250000000003,5.75,0.01962351001550012,0.0007749612519374031,-23.452828425805656,-0.97125,Only R matched,,Dale Strong,0.0,1.85,Only R matched,0.0,0.0,0,,
AL,6,AL-6,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown College / Unknown White,Unknown College / Unknown White / Unknown Black / Unknown Hispanic / Unknown Income,standard,D_vs_R,,,AL,Deep South,Rural,0.0,"Palmer, Gary",R,R,R,True,False,"Mercer, Maurice","Palmer, Gary",,True,False,False,True,-34.99999999999999,-34.60000000000001,-26.999999999999993,-35.18599999999999,1.0,,7.74,7.74,-1.5,1.4374137931034483,0.0,-27.508586206896545,,0,False,-27.508586206896545,0.00022498875056247187,,-35.18599999999999,0.8,-0.2,-0.05,0.55,District type base: Rural=0.80. Partisan baseline adjustment: -0.20. Region adjustment: Deep South=-0.05. No manual override. Final elasticity: 0.55.,0.55,-1.5,4.52,-33.49999999999999,-39.120000000000005,7.74,1.0,7.74,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,,,0.0,0.0,0.0,False,,0.0,1.0,-27.508586206896545,5.75,0.01010304120441561,0.00022498875056247187,-27.442137286266494,1.4374137931034483,Only R matched,,Gary Palmer,0.0,-2.737931034482759,Only R matched,0.0,0.0,0,,
AL,7,AL-7,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown College / Unknown White,Unknown College / Unknown White / Unknown Black / Unknown Hispanic / Unknown Income,standard,D_vs_R,,,AL,Deep South,Rural,0.0,"Sewell, Terri",D,D,D,True,False,"Sewell, Terri","Akin, Ammie",,False,True,True,False,24.799999999999997,30.300000000000004,32.8,26.144,1.0,,7.74,7.74,1.5,0.28875,0.0,35.67275,,0,False,35.67275,0.9999250037498125,,26.144,0.8,-0.2,-0.05,0.55,District type base: Rural=0.80. Partisan baseline adjustment: -0.20. Region adjustment: Deep South=-0.05. No manual override. Final elasticity: 0.55.,0.55,-1.5,4.52,26.299999999999997,25.780000000000005,7.74,1.0,7.74,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,,,0.0,0.0,0.0,False,,0.0,1.0,35.67275,5.75,0.9973891321815216,0.9999250037498125,35.62229090386105,0.28875,Only D matched,Terri Sewell,,0.55,0.0,Only D matched,0.0,0.0,0,,
AK,AL,AK-AL,Northwest,Mixed,Low,High,Low,Unknown,Unknown,Low College / High White,Low College / High White / Low Black / Unknown Hispanic / Unknown Income,top_four_rcv,R_vs_I,,,AK,Northwest,Mixed,0.0,"Begich, Nick",R,R,R,True,False,,"Begich, Nick","Hill, Bill (I)",False,False,False,True,-13.1,-10.0,-5.1,-12.476,1.0,,7.74,7.74,-1.5,2.38875,0.0,-3.847249999999999,-19.0,1,True,-5.438288749999999,0.23256337183140843,,-12.476,0.95,0.0,0.0,0.95,District type base: Mixed=0.95. Partisan baseline adjustment: +0.00. Region adjustment: Northwest=+0.00. No manual override. Final elasticity: 0.95.,0.95,-1.5,4.52,-11.6,-14.52,7.74,1.0,7.74,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,2026-07-17,61.0,0.5470912827170832,1.0,1.0,False,Manual House polling average from 1 poll(s): Alaska Survey Research,0.105,0.895,-5.438288749999999,5.5990625,0.287740873141432,0.23256337183140843,-5.448911675549293,2.38875,Only R matched,,Nick Begich,0.0,-4.55,Only R matched,0.0,0.0,0,,
AZ,1,AZ-1,Southwest,Suburban,Very High,High,Low,Low,Unknown,Very High College / High White,Very High College / High White / Low Black / Low Hispanic / Unknown Income,standard,D_vs_R,,,AZ,Southwest,Suburban,0.0,"Schweikert, David",R,R,R,False,True,"Shah, Amish","Feely, Jay",,True,True,False,False,-3.1,1.5,4.9,-2.026,1.0,,7.74,7.74,0.0,1.0499999999999998,0.0,6.764,,0,False,6.764,0.8166341682915854,,-2.026,1.1,0.1,0.0,1.2000000000000002,District type base: Suburban=1.10. Partisan baseline adjustment: +0.10. Region adjustment: Southwest=+0.00. No manual override. Final elasticity: 1.20.,1.2000000000000002,-1.5,4.52,-1.6,-3.0199999999999996,7.74,1.0,7.74,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,,,0.0,0.0,0.0,False,,0.0,1.0,6.764,5.75,0.7553464395252273,0.8166341682915854,6.734877849931886,1.0499999999999998,Only D matched,Amish Shah,,2.0,0.0,Only D matched,0.0,0.0,0,,
AZ,2,AZ-2,Southwest,Mixed,Low,Medium,Low,Low,Unknown,Low College / Medium White,Low College / Medium White / Low Black / Low Hispanic / Unknown Income,standard,D_vs_R,,,AZ,Southwest,Mixed,0.0,"Crane, Eli",R,R,R,True,False,"Nez, Jonathan","Crane, Eli",,True,False,False,True,-14.9,-7.900000000000006,-6.9,-13.106,1.0,,7.74,7.74,-1.5,4.0,0.0,-2.8659999999999997,-6.648003994947875,2,True,-3.6687016959221608,0.3126093695315234,,-13.106,0.95,0.0,0.0,0.95,District type base: Mixed=0.95. Partisan baseline adjustment: +0.00. Region adjustment: Southwest=+0.00. No manual override. Final elasticity: 0.95.,0.95,-1.5,4.52,-13.4,-12.420000000000003,7.74,1.0,7.74,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,2026-08-20,45.0,0.7306163258672103,1.9972525239548455,0.5185447281912956,True,"Manual House polling average from 2 poll(s): GBAO, Peak Insights",0.21224242412076677,0.7877575758792332,-3.6687016959221608,5.444901515326398,0.3517284398636481,0.3126093695315234,-3.655779357832239,4.0,Both matched,Jonathan Nez,Eli Crane,4.25,-2.93030303030303,Both matched,0.0,0.0,0,,
