state,district,district_id,region,district_type,college_share_tier,white_share_tier,black_share_tier,hispanic_share_tier,median_income_tier,education_race_error_group,demographic_error_group,election_system,general_election_party_structure,party_control_override,election_system_notes,state_error_group,region_error_group,district_type_error_group,state_environment_adjustment_dem,incumbent_raw,incumbent_party_raw,incumbent_party,inferred_incumbent_party,incumbent_running,open_seat,dem_candidate,gop_candidate,other_candidate,dem_candidate_italic,gop_candidate_italic,dem_candidate_is_incumbent,gop_candidate_is_incumbent,pres_2024_margin_dem,pres_2020_margin_dem,genballot_adjusted_margin_dem,district_partisan_baseline_dem,district_elasticity,manual_elasticity_override,national_environment_margin_dem,district_environment_adjustment_dem,incumbency_adjustment_dem,candidate_quality_adjustment_dem,special_adjustment_dem,fundamentals_margin_dem,polling_margin_dem,poll_count,polling_active,model_margin_dem,dem_win_probability,race_notes,elasticity_baseline_margin_dem,district_type_elasticity_base,partisan_baseline_elasticity_adjustment,region_elasticity_adjustment,calculated_district_elasticity,elasticity_notes,district_elasticity_input,national_pres_2024_margin_dem,national_pres_2020_margin_dem,pres_2024_relative_to_national_dem,pres_2020_relative_to_national_dem,imported_national_environment_margin_dem,house_environment_multiplier,house_national_environment_used_dem,generic_house_incumbency_points,use_candidate_war_adjustments,use_house_poll_spillover_adjustments,poll_spillover_adjustment_dem,poll_spillover_raw_adjustment_dem,poll_spillover_source_count,poll_spillover_notes,fundamentals_notes,national_environment_source_path,latest_poll_end_date,avg_poll_age_days,total_poll_weight,effective_poll_count,largest_pollster_weight_share,only_partisan_or_internal_polls,polling_notes,bayesian_polling_weight,bayesian_fundamentals_weight,bayesian_model_margin_dem,district_posterior_sd,pre_sim_dem_win_probability,simulated_dem_win_probability,avg_simulated_margin_dem,candidate_war_adjustment_dem,war_match_status,dem_war_name,gop_war_name,dem_candidate_war,gop_candidate_war,candidate_war_match_status,candidate_quality_adjustment_dem_before_war,candidate_event_adjustment_dem,candidate_event_count,candidate_event_ids,candidate_event_summary,polling_active_bool,only_partisan_or_internal_polls_bool,poll_quality_count,poll_count_multiplier,party_control_fixed,raw_simulated_dem_win_probability,margin_p25_dem,margin_p50_dem,margin_p75_dem
AL,1,AL-1,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown College / Unknown White,Unknown College / Unknown White / Unknown Black / Unknown Hispanic / Unknown Income,standard,D_vs_R,,,AL,Deep South,Rural,0.0,"Moore, Barry",R,R,R,False,True,"Jones, Clyde","Carl, Jerry",,True,True,False,False,-36.3,-30.199999999999996,-28.299999999999997,-34.775999999999996,1.0,,6.48,6.48,0.0,0.7612499999999998,0.0,-27.534749999999995,,0,False,-27.534749999999995,0.00012499375031248437,,-34.775999999999996,0.8,-0.2,-0.05,0.55,District type base: Rural=0.80. Partisan baseline adjustment: -0.20. Region adjustment: Deep South=-0.05. No manual override. Final elasticity: 0.55.,0.55,-1.5,4.52,-34.8,-34.72,6.48,1.0,6.48,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,,,0.0,0.0,0.0,False,,0.0,1.0,-27.534749999999995,5.75,0.010059523687505064,0.00012499375031248437,-27.53248332738473,0.7612499999999998,Only R matched,,Jerry Carl,0.0,-1.4499999999999995,Only R matched,0.0,0.0,0,,,False,False,0.0,0.0,,0.0001,-32.58020043564636,-27.552646619835564,-22.524060422605913
AL,2,AL-2,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown College / Unknown White,Unknown College / Unknown White / Unknown Black / Unknown Hispanic / Unknown Income,standard,D_vs_R,,,AL,Deep South,Rural,0.0,"Figures, Shomari",D,D,D,True,False,"Figures, Shomari ","Marques, Rhett",,False,True,True,False,-17.300000000000004,-11.799999999999995,-9.300000000000004,-15.956,1.0,,6.48,6.48,1.5,0.5775,0.0,-7.398499999999999,-0.6877359807794032,3,True,-5.3725656702883855,0.2383630818459077,,-15.956,0.8,-0.1,-0.05,0.65,District type base: Rural=0.80. Partisan baseline adjustment: -0.10. Region adjustment: Deep South=-0.05. No manual override. Final elasticity: 0.65.,0.65,-1.5,4.52,-15.800000000000004,-16.319999999999993,6.48,1.0,6.48,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,2026-08-31,47.0,1.2237759132091006,2.268932455245104,0.5989086686787684,False,"Manual House polling average from 3 poll(s): IMPACT Research, DCCC, Tulchin Research",0.3018932455245104,0.6981067544754895,-5.3725656702883855,5.316028459558517,0.28999103011859184,0.2383630818459077,-5.3350162752227295,0.5775,Only D matched,Shomari Figures,,1.1,0.0,Only D matched,0.0,0.0,0,,,True,False,2.268932455245104,0.6037864910490208,,0.23835,-10.32056027696541,-5.412533189360385,-0.252181208495979
AL,3,AL-3,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown College / Unknown White,Unknown College / Unknown White / Unknown Black / Unknown Hispanic / Unknown Income,standard,D_vs_R,,,AL,Deep South,Rural,0.0,"Rogers, Mike",R,R,R,True,False,"McGinnis, Lee","Rogers, Mike",,True,False,False,True,-45.900000000000006,-40.10000000000001,-37.900000000000006,-44.466,1.0,,6.48,6.48,-1.5,0.1461249999999999,0.0,-39.339875000000006,,0,False,-39.339875000000006,2.4998750062496874e-05,,-44.466,0.8,-0.2,-0.05,0.55,District type base: Rural=0.80. Partisan baseline adjustment: -0.20. Region adjustment: Deep South=-0.05. No manual override. Final elasticity: 0.55.,0.55,-1.5,4.52,-44.400000000000006,-44.620000000000005,6.48,1.0,6.48,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,,,0.0,0.0,0.0,False,,0.0,1.0,-39.339875000000006,5.75,0.0014186274377209539,2.4998750062496874e-05,-39.35124724790072,0.1461249999999999,Only R matched,,Mike Rogers,0.0,-0.2783333333333333,Only R matched,0.0,0.0,0,,,False,False,0.0,0.0,,0.0,-44.49661689870952,-39.309004853510245,-34.24338936606158
AL,4,AL-4,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown College / Unknown White,Unknown College / Unknown White / Unknown Black / Unknown Hispanic / Unknown Income,standard,D_vs_R,,,AL,Deep South,Rural,0.0,"Aderholt, Robert",R,R,R,True,False,"Pusczek, Amanda","Aderholt, Robert",,True,False,False,True,-67.80000000000001,-63.7,-59.80000000000001,-66.876,1.0,,6.48,6.48,-1.5,0.2322115384615384,0.0,-61.66378846153846,,0,False,-61.66378846153846,2.4998750062496874e-05,,-66.876,0.8,-0.2,-0.05,0.55,District type base: Rural=0.80. Partisan baseline adjustment: -0.20. Region adjustment: Deep South=-0.05. No manual override. Final elasticity: 0.55.,0.55,-1.5,4.52,-66.30000000000001,-68.22,6.48,1.0,6.48,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,,,0.0,0.0,0.0,False,,0.0,1.0,-61.66378846153846,5.75,3.4404180262977916e-05,2.4998750062496874e-05,-61.602640845982975,0.2322115384615384,Only R matched,,Robert Aderholt,0.0,-0.4423076923076923,Only R matched,0.0,0.0,0,,,False,False,0.0,0.0,,0.0,-66.63866262182864,-61.55440539828608,-56.65161396863177
AL,5,AL-5,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown College / Unknown White,Unknown College / Unknown White / Unknown Black / Unknown Hispanic / Unknown Income,standard,D_vs_R,,,AL,Deep South,Rural,0.0,"Strong, Dale",R,R,R,True,False,"Sneed, Andrew","Strong, Dale",,True,False,False,True,-29.0,-27.1,-21.0,-28.736,1.0,,6.48,6.48,-1.5,-0.97125,0.0,-24.72725,,0,False,-24.72725,0.0003249837508124594,,-28.736,0.8,-0.2,-0.05,0.55,District type base: Rural=0.80. Partisan baseline adjustment: -0.20. Region adjustment: Deep South=-0.05. No manual override. Final elasticity: 0.55.,0.55,-1.5,4.52,-27.5,-31.62,6.48,1.0,6.48,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,,,0.0,0.0,0.0,False,,0.0,1.0,-24.72725,5.75,0.015965853176534064,0.0003249837508124594,-24.712828425805455,-0.97125,Only R matched,,Dale Strong,0.0,1.85,Only R matched,0.0,0.0,0,,,False,False,0.0,0.0,,0.0003,-29.76888690747483,-24.715155591066853,-19.666007587418896
AL,6,AL-6,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown College / Unknown White,Unknown College / Unknown White / Unknown Black / Unknown Hispanic / Unknown Income,standard,D_vs_R,,,AL,Deep South,Rural,0.0,"Palmer, Gary",R,R,R,True,False,"Mercer, Maurice","Palmer, Gary",,True,False,False,True,-34.99999999999999,-34.60000000000001,-26.999999999999993,-35.18599999999999,1.0,,6.48,6.48,-1.5,1.4374137931034483,0.0,-28.768586206896543,,0,False,-28.768586206896543,7.499625018749062e-05,,-35.18599999999999,0.8,-0.2,-0.05,0.55,District type base: Rural=0.80. Partisan baseline adjustment: -0.20. Region adjustment: Deep South=-0.05. No manual override. Final elasticity: 0.55.,0.55,-1.5,4.52,-33.49999999999999,-39.120000000000005,6.48,1.0,6.48,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,,,0.0,0.0,0.0,False,,0.0,1.0,-28.768586206896543,5.75,0.008205067871321843,7.499625018749062e-05,-28.702137286266666,1.4374137931034483,Only R matched,,Gary Palmer,0.0,-2.737931034482759,Only R matched,0.0,0.0,0,,,False,False,0.0,0.0,,5e-05,-33.74706441310002,-28.666017675204415,-23.678568390772085
AL,7,AL-7,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown College / Unknown White,Unknown College / Unknown White / Unknown Black / Unknown Hispanic / Unknown Income,standard,D_vs_R,,,AL,Deep South,Rural,0.0,"Sewell, Terri",D,D,D,True,False,"Sewell, Terri","Akin, Ammie",,False,True,True,False,24.799999999999997,30.300000000000004,32.8,26.144,1.0,,6.48,6.48,1.5,0.28875,0.0,34.412749999999996,,0,False,34.412749999999996,0.9999250037498125,,26.144,0.8,-0.2,-0.05,0.55,District type base: Rural=0.80. Partisan baseline adjustment: -0.20. Region adjustment: Deep South=-0.05. No manual override. Final elasticity: 0.55.,0.55,-1.5,4.52,26.299999999999997,25.780000000000005,6.48,1.0,6.48,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,,,0.0,0.0,0.0,False,,0.0,1.0,34.412749999999996,5.75,0.996780993578847,0.9999250037498125,34.36229090386121,0.28875,Only D matched,Terri Sewell,,0.55,0.0,Only D matched,0.0,0.0,0,,,False,False,0.0,0.0,,0.99995,29.312324762687023,34.390577575399846,39.50541766357051
AK,AL,AK-AL,Northwest,Mixed,Low,High,Low,Unknown,Unknown,Low College / High White,Low College / High White / Low Black / Unknown Hispanic / Unknown Income,top_four_rcv,R_vs_I,,,AK,Northwest,Mixed,0.0,"Begich, Nick",R,R,R,True,False,,"Begich, Nick","Hill, Bill (I)",False,False,False,True,-13.1,-10.0,-5.1,-12.476,1.0,,6.48,6.48,-1.5,2.38875,0.0,-5.107249999999999,-19.0,1,True,-6.565988749999999,0.1888155592220389,,-12.476,0.95,0.0,0.0,0.95,District type base: Mixed=0.95. Partisan baseline adjustment: +0.00. Region adjustment: Northwest=+0.00. No manual override. Final elasticity: 0.95.,0.95,-1.5,4.52,-11.6,-14.52,6.48,1.0,6.48,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,2026-07-17,59.0,0.5618766456020703,1.0,1.0,False,Manual House polling average from 1 poll(s): Alaska Survey Research,0.105,0.895,-6.565988749999999,5.5990625,0.25080351438789505,0.1888155592220389,-6.576611675549304,2.38875,Only R matched,,Nick Begich,0.0,-4.55,Only R matched,0.0,0.0,0,,,True,False,0.7,0.21,,0.1888,-11.621803315383026,-6.530210576295121,-1.5352708449075094
AZ,1,AZ-1,Southwest,Suburban,Very High,High,Low,Low,Unknown,Very High College / High White,Very High College / High White / Low Black / Low Hispanic / Unknown Income,standard,D_vs_R,,,AZ,Southwest,Suburban,0.0,"Schweikert, David",R,R,R,False,True,"Shah, Amish","Feely, Jay",,True,True,False,False,-3.1,1.5,4.9,-2.026,1.0,,6.48,6.48,0.0,1.0499999999999998,0.0,5.504,,0,False,5.504,0.7676366181690916,,-2.026,1.1,0.1,0.0,1.2000000000000002,District type base: Suburban=1.10. Partisan baseline adjustment: +0.10. Region adjustment: Southwest=+0.00. No manual override. Final elasticity: 1.20.,1.2000000000000002,-1.5,4.52,-1.6,-3.0199999999999996,6.48,1.0,6.48,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,,,0.0,0.0,0.0,False,,0.0,1.0,5.504,5.75,0.7144984425478407,0.7676366181690916,5.474877849931895,1.0499999999999998,Only D matched,Amish Shah,,2.0,0.0,Only D matched,0.0,0.0,0,,,False,False,0.0,0.0,,0.76765,0.426775169432428,5.449025860600491,10.593985854642526
AZ,2,AZ-2,Southwest,Mixed,Low,Medium,Low,Low,Unknown,Low College / Medium White,Low College / Medium White / Low Black / Low Hispanic / Unknown Income,standard,D_vs_R,,,AZ,Southwest,Mixed,0.0,"Crane, Eli",R,R,R,True,False,"Nez, Jonathan","Crane, Eli",,True,False,False,True,-14.9,-7.900000000000006,-6.9,-13.106,1.0,,6.48,6.48,-1.5,4.0,0.0,-4.1259999999999994,-6.648003994947875,2,True,-4.661276241529995,0.26621168941552925,,-13.106,0.95,0.0,0.0,0.95,District type base: Mixed=0.95. Partisan baseline adjustment: +0.00. Region adjustment: Southwest=+0.00. No manual override. Final elasticity: 0.95.,0.95,-1.5,4.52,-13.4,-12.420000000000003,6.48,1.0,6.48,1.5,1,1,0.0,0.0,0,Poll spillover active but signal file missing,House fundamentals calculated as 70%*2024 presidential margin + 30%*2020 presidential margin + national environment * district elasticity + state environment adjustment + incumbency + candidate quality + candidate event adjustment + special adjustment.,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/senate_model_python_Q1_auto_calendar_candidate_refresh/inputs/national_environment.csv,2026-08-20,43.0,0.7503615271688893,1.997252523954846,0.5185447281912955,True,"Manual House polling average from 2 poll(s): GBAO, Peak Insights",0.21224242412076683,0.7877575758792332,-4.661276241529995,5.444901515326398,0.31499284189133975,0.26621168941552925,-4.648353903440061,4.0,Both matched,Jonathan Nez,Eli Crane,4.25,-2.93030303030303,Both matched,0.0,0.0,0,,,True,True,1.4979393929661344,0.42448484824153365,,0.2662,-9.692722423892,-4.7213062300668,0.3976025724849571
